2.786, 5.927
-0.048, 13.612
4.691, 78.128
-0.582, 21.363
0.336, 8.531
0.927, 1.725
2.560, 2.466
0.850, 3.062
3.785, 32.489
-0.496, 20.158
3.006, 10.204
2.653, 3.865
0.291, 9.508
-1.882, 36.090
-0.372, 18.178
4.054, 43.810
1.911, -1.599
3.033, 10.332
0.202, 10.369
-3.095, 37.327
-1.713, 34.761
2.263, -0.314
4.690, 78.228
4.085, 45.374
-1.944, 36.815
1.222, 0.003
-1.837, 35.876
2.552, 2.454
3.468, 21.934
-2.556, 38.925
-1.468, 32.552
1.718, -2.095
2.413, 0.729
1.169, 0.283
4.003, 41.263
1.711, -1.450
1.334, -0.662
-1.656, 34.538
3.151, 13.223
-1.677, 34.752
3.052, 10.915
0.136, 11.253
1.156, 0.601
2.367, 0.731
-2.298, 38.382
4.179, 49.736
2.080, -1.145
2.075, -1.363
-2.004, 37.446
-1.132, 28.660
-0.621, 21.689
-1.891, 36.628
0.645, 4.903
-2.118, 37.930
-0.946, 25.876
0.819, 3.333
0.880, 2.495
-2.954, 38.312
4.750, 82.218
-1.752, 35.281
-1.546, 33.398
3.890, 37.016
2.813, 6.081
-0.849, 25.150
1.851, -1.768
0.289, 8.975
-2.765, 38.757
0.593, 5.370
0.460, 6.776
1.838, -2.139
-0.627, 21.402
-1.392, 31.806
-2.415, 39.225
-0.400, 18.532
-2.866, 38.618
1.067, 0.953
-3.171, 36.750
-2.833, 38.350
3.065, 10.959
4.030, 42.846
3.258, 15.667
